,_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
77,87194ad26ffffff,114.0,10.0,41.0,0.0,47.0,43.0,11.0,44.0,62.0,18.0,31.0,146.0,360.0,49.0,58.0,195.0,14.0,25.0
78,87194ad28ffffff,58.0,1.0,3.0,0.0,23.0,18.0,0.0,4.0,15.0,3.0,8.0,33.0,113.0,23.0,14.0,92.0,0.0,7.0
79,87194ad29ffffff,57.0,0.0,0.0,0.0,18.0,39.0,1.0,12.0,20.0,3.0,11.0,58.0,239.0,19.0,8.0,94.0,4.0,9.0
80,87194ad2affffff,74.0,2.0,0.0,0.0,42.0,43.0,5.0,15.0,43.0,6.0,15.0,96.0,279.0,16.0,13.0,148.0,2.0,13.0
81,87194ad2bffffff,59.0,2.0,0.0,0.0,14.0,37.0,0.0,5.0,19.0,5.0,7.0,40.0,134.0,19.0,11.0,104.0,3.0,4.0
82,87194ad2cffffff,67.0,2.0,0.0,0.0,28.0,24.0,0.0,10.0,25.0,3.0,9.0,53.0,194.0,22.0,17.0,128.0,2.0,16.0
83,87194ad2dffffff,57.0,1.0,1.0,0.0,33.0,31.0,3.0,23.0,27.0,10.0,18.0,88.0,215.0,43.0,7.0,121.0,2.0,14.0
84,87194ad2effffff,67.0,2.0,2.0,0.0,48.0,50.0,3.0,26.0,18.0,16.0,20.0,96.0,211.0,55.0,35.0,144.0,2.0,10.0
85,87194ad30ffffff,158.0,62.0,67.0,0.0,246.0,286.0,82.0,551.0,322.0,326.0,335.0,891.0,5085.0,216.0,323.0,419.0,62.0,244.0
86,87194ad31ffffff,97.0,11.0,57.0,0.0,51.0,55.0,1.0,41.0,54.0,30.0,48.0,196.0,560.0,82.0,103.0,217.0,7.0,30.0
87,87194ad32ffffff,168.0,55.0,29.0,0.0,246.0,259.0,86.0,549.0,246.0,275.0,346.0,1114.0,4568.0,294.0,401.0,413.0,60.0,289.0
88,87194ad33ffffff,139.0,8.0,0.0,0.0,99.0,132.0,28.0,146.0,119.0,78.0,118.0,421.0,1349.0,102.0,141.0,275.0,24.0,95.0
89,87194ad34ffffff,109.0,9.0,25.0,0.0,118.0,124.0,24.0,160.0,107.0,137.0,138.0,552.0,1266.0,140.0,104.0,282.0,10.0,82.0
90,87194ad35ffffff,100.0,9.0,79.0,0.0,96.0,70.0,12.0,55.0,86.0,26.0,50.0,346.0,600.0,81.0,82.0,202.0,17.0,35.0
91,87194ad36ffffff,161.0,18.0,15.0,0.0,242.0,240.0,47.0,272.0,150.0,191.0,181.0,632.0,3745.0,199.0,173.0,316.0,38.0,207.0
92,87194ad40ffffff,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,9.0,0.0,0.0
