ORIGIN_CODE,DESTINATION_CODE,flows
87194ac00ffffff,87195db4effffff,0.0
87194ac00ffffff,87195db58ffffff,0.0
87194ac00ffffff,87195db59ffffff,0.0
87194ac00ffffff,87195db5affffff,0.0
87194ac00ffffff,87195db5bffffff,1.0
87194ac00ffffff,87195db5cffffff,0.0
87194ac00ffffff,87195db5dffffff,0.0
87194ac00ffffff,87195db69ffffff,0.0
87194ac00ffffff,87195db6bffffff,0.0
87194ac01ffffff,87194ac00ffffff,2885.0
87194ac01ffffff,87194ac02ffffff,313.0
87194ac01ffffff,87194ac03ffffff,1872.0
87194ac01ffffff,87194ac04ffffff,595.0
87194ac01ffffff,87194ac05ffffff,2370.0
87194ac01ffffff,87194ac06ffffff,212.0
87194ac01ffffff,87194ac0cffffff,468.0
87194ac01ffffff,87194ac0effffff,915.0
87194ac01ffffff,87194ac10ffffff,40.0
87194ac01ffffff,87194ac12ffffff,3.0
87194ac01ffffff,87194ac13ffffff,5.0
87194ac01ffffff,87194ac14ffffff,92.0
87194ac01ffffff,87194ac15ffffff,88.0
87194ac01ffffff,87194ac16ffffff,16.0
87194ac01ffffff,87194ac1cffffff,44.0
87194ac01ffffff,87194ac20ffffff,88.0
87194ac01ffffff,87194ac21ffffff,183.0
87194ac01ffffff,87194ac22ffffff,247.0
87194ac01ffffff,87194ac23ffffff,374.0
87194ac01ffffff,87194ac24ffffff,59.0
87194ac01ffffff,87194ac25ffffff,57.0
87194ac01ffffff,87194ac26ffffff,132.0
87194ac01ffffff,87194ac28ffffff,31.0
87194ac01ffffff,87194ac2affffff,1260.0
87194ac01ffffff,87194ac2cffffff,28.0
87194ac01ffffff,87194ac2dffffff,9.0
87194ac01ffffff,87194ac2effffff,431.0
87194ac01ffffff,87194ac30ffffff,64.0
87194ac01ffffff,87194ac31ffffff,201.0
87194ac01ffffff,87194ac32ffffff,49.0
87194ac01ffffff,87194ac33ffffff,123.0
87194ac01ffffff,87194ac34ffffff,30.0
87194ac01ffffff,87194ac35ffffff,93.0
87194ac01ffffff,87194ac36ffffff,39.0
87194ac01ffffff,87194ac84ffffff,2.0
87194ac01ffffff,87194ac85ffffff,1.0
87194ac01ffffff,87194aca0ffffff,10.0
87194ac01ffffff,87194aca2ffffff,3.0
87194ac01ffffff,87194aca3ffffff,4.0
87194ac01ffffff,87194aca4ffffff,15.0
87194ac01ffffff,87194aca5ffffff,3.0
87194ac01ffffff,87194aca6ffffff,5.0
87194ac01ffffff,87194ad00ffffff,9.0
87194ac01ffffff,87194ad01ffffff,14.0
87194ac01ffffff,87194ad02ffffff,12.0
87194ac01ffffff,87194ad03ffffff,15.0
87194ac01ffffff,87194ad04ffffff,9.0
87194ac01ffffff,87194ad05ffffff,11.0
87194ac01ffffff,87194ad06ffffff,11.0
87194ac01ffffff,87194ad08ffffff,24.0
87194ac01ffffff,87194ad09ffffff,20.0
87194ac01ffffff,87194ad0affffff,34.0
87194ac01ffffff,87194ad0bffffff,34.0
87194ac01ffffff,87194ad0cffffff,12.0
87194ac01ffffff,87194ad0dffffff,25.0
87194ac01ffffff,87194ad0effffff,20.0
87194ac01ffffff,87194ad10ffffff,11.0
87194ac01ffffff,87194ad11ffffff,16.0
87194ac01ffffff,87194ad12ffffff,11.0
87194ac01ffffff,87194ad13ffffff,13.0
87194ac01ffffff,87194ad14ffffff,10.0
87194ac01ffffff,87194ad15ffffff,11.0
87194ac01ffffff,87194ad16ffffff,12.0
87194ac01ffffff,87194ad18ffffff,22.0
87194ac01ffffff,87194ad19ffffff,46.0
87194ac01ffffff,87194ad1affffff,28.0
87194ac01ffffff,87194ad1bffffff,51.0
87194ac01ffffff,87194ad1cffffff,17.0
87194ac01ffffff,87194ad1dffffff,27.0
87194ac01ffffff,87194ad1effffff,20.0
87194ac01ffffff,87194ad20ffffff,4.0
87194ac01ffffff,87194ad21ffffff,5.0
87194ac01ffffff,87194ad22ffffff,6.0
87194ac01ffffff,87194ad23ffffff,7.0
87194ac01ffffff,87194ad24ffffff,4.0
87194ac01ffffff,87194ad25ffffff,3.0
